scenario_name,attack_type,attack_magnitude,attack_slope,attack_frequency,attack_start_time,attack_detected,detection_time,detection_delay,confidence,residual_baseline_sigma,residual_abs_max,residual_abs_mean,residual_rms,residual_peak_to_sigma,detector_threshold,itae_1dof,itae_2dof,itae_pid,itae_res,delta_itae_res_1dof,delta_itae_res_pid,delta_itae_res_2dof,y_1dof_final,y_2dof_final,y_pid_final,y_res_final,y_1dof_peak,y_2dof_peak,y_pid_peak,y_res_peak,y_1dof_overshoot,y_2dof_overshoot,y_pid_overshoot,y_res_overshoot,y_1dof_settling,y_2dof_settling,y_pid_settling,y_res_settling,mode_transitions,final_mode,first_switch_time,last_switch_time,u_jump,u_peak_rate
bias_small,bias,0.1,NaN,NaN,5,1,5.002,0.00199999999999978,0.129995708188258,0.00438719474139769,0.100002933241896,0.00214579274739236,0.0108161051230859,22.7942772401384,0.0144777426466124,NaN,29.9206609816697,56.3275271995381,0.189995714432365,NaN,-56.1375314851057,-29.7306652672374,NaN,0.900000000005533,0.818185052731815,0.999999999999972,NaN,1.01150345856003,1.51155502575361,1.02325749533944,NaN,12.3892731726459,84.7448838996416,2.32574953394646,NaN,5.64263921164058,8.49236394604098,1.83078525125831,1,3,5.002,5.002,0.93170449755701,931.70449755701
bias_large,bias,0.5,NaN,NaN,5,1,5.002,0.00199999999999978,0.649954883181064,0.00438719474139769,0.500002933241896,0.00902609971372554,0.0532165278658937,113.968711833978,0.0144777426466124,NaN,149.074650342856,165.201916372482,0.193897669077939,NaN,-165.008018703405,-148.880752673778,NaN,0.500000000029347,0.454551071828326,0.999999999999896,NaN,1.01150345856003,1.51155502575361,1.02325749533944,NaN,102.300691700132,232.537996153817,2.32574953395421,NaN,6.00994299252299,12.5639338984219,1.83078525126245,1,3,5.002,5.002,4.68021502781258,4680.21502781258
ramp,ramp,NaN,0.05,NaN,5,1,5.158,0.158,0.0146764555323452,0.00438719474139769,0.0210400054593718,0.0167504015693804,0.0184290322516029,4.7957765040238,0.0144777426466124,NaN,177.453994942372,194.045849231924,0.19199539373696,NaN,-193.853853838187,-177.261999548635,NaN,0.0201294025129524,0.00574195035911651,0.999999999999939,NaN,1.01150345856003,1.51155502575361,1.02325749533944,NaN,4925.00487984764,26224.7665203812,2.32574953394984,NaN,24.9919482389943,24.9974735584376,1.83078525126011,1,3,5.158,5.158,0.0634288908404566,440.647825479839
sine,sine,0.1,NaN,1,5,1,5.018,0.0179999999999998,0.0169362113897341,0.00438719474139769,0.128743436733104,0.0613693246560738,0.0758239934727503,29.3452751295212,0.0144777426466124,NaN,6.9385492017886,30.2643942042662,0.189847911540664,NaN,-30.0745462927256,-6.74870129024793,NaN,1.03286626675635,0.8980074118086,0.999999999999969,NaN,1.03586482602428,1.51155502575361,1.02325749533944,NaN,0.290314377033818,68.3232238261064,2.3257495339468,NaN,24.8692896316065,24.969647798261,1.83078525125848,1,3,5.018,5.018,0.0909421390268612,440.647825479839
