scenario,itae_pid,itae_aug_pid,itae_1d,itae_aug_1d,itae_2d,itae_aug_2d,u_jump_aug_pid,u_jump_aug_1d,u_jump_aug_2d
bias_small,56.3573467972799,36.3951623745187,30.0011928352456,42.3754674895879,29.9212185470624,49.187710764233,4.39112466508185e-05,6.08711580696308e-07,-1.13743364060781e-07
bias_large,165.234571364723,62.7188202822076,149.378229798886,67.5224749583876,149.078529578676,73.6024655016776,4.39112466508185e-05,6.08711580696308e-07,-1.13743364060781e-07
ramp,194.088556879168,78.4139900678154,178.913472530557,82.6651045463957,177.468561140923,88.3041331621444,4.39112466508185e-05,6.08711580696308e-07,-1.13743364060781e-07
sine,30.3544028544235,29.4966997033147,7.88845513278463,35.5904462375033,6.95958568158723,42.5918291495605,4.39112466508185e-05,6.08711580696308e-07,-1.13743364060781e-07
