scenario_name,attack_type,attack_magnitude,attack_slope,attack_frequency,attack_start_time,attack_detected,detection_time,detection_delay,confidence,residual_baseline_sigma,residual_abs_max,residual_abs_mean,residual_rms,residual_peak_to_sigma,detector_threshold,itae_1dof,itae_2dof,itae_pid,itae_res,delta_itae_res_1dof,delta_itae_res_pid,delta_itae_res_2dof,mode_transitions,final_mode,first_switch_time,last_switch_time
bias_small,bias,0.1,NaN,NaN,5,1,5.002,0.00199999999999978,0.129995708188258,0.00438719474139769,0.100002933241896,0.00214579274739236,0.0108161051230859,22.7942772401384,0.0144777426466124,NaN,29.9206609816697,56.3275271995381,0.189995714432365,NaN,-56.1375314851057,-29.7306652672374,1,3,5.002,5.002
bias_large,bias,0.5,NaN,NaN,5,1,5.002,0.00199999999999978,0.649954883181064,0.00438719474139769,0.500002933241896,0.00902609971372554,0.0532165278658937,113.968711833978,0.0144777426466124,NaN,149.074650342856,165.201916372482,0.193897669077939,NaN,-165.008018703405,-148.880752673778,1,3,5.002,5.002
ramp,ramp,NaN,0.05,NaN,5,1,5.158,0.158,0.0146764555323452,0.00438719474139769,0.0210400054593718,0.0167504015693804,0.0184290322516029,4.7957765040238,0.0144777426466124,NaN,177.453994942372,194.045849231924,0.19199539373696,NaN,-193.853853838187,-177.261999548635,1,3,5.158,5.158
sine,sine,0.1,NaN,1,5,1,5.018,0.0179999999999998,0.0169362113897341,0.00438719474139769,0.128743436733104,0.0613693246560738,0.0758239934727503,29.3452751295212,0.0144777426466124,NaN,6.9385492017886,30.2643942042662,0.189847911540664,NaN,-30.0745462927256,-6.74870129024793,1,3,5.018,5.018
