scenario_name,attack_type,attack_magnitude,attack_slope,attack_frequency,attack_start_time,attack_detected,detection_time_s,detection_delay_s,detection_confidence,resid_baseline_sigma,resid_abs_max,resid_rms,resid_peak_to_sigma,detector_threshold,ITAE_1dof_attacked,ITAE_2dof_attacked,ITAE_pid_attacked,ITAE_resilient,improvement_vs_2dof_pct,improvement_vs_pid_pct,overshoot_1dof_pct,overshoot_2dof_pct,overshoot_pid_pct,overshoot_resilient_pct,settling_1dof_s,settling_2dof_s,settling_pid_s,settling_resilient_s,final_val_1dof,final_val_2dof,final_val_pid,final_val_resilient,n_mode_transitions,final_mode,first_switch_time
bias_small,bias,0.1,NaN,NaN,5,1,5.012,0.0120000000000005,1.44991126309542,0.00732185830905091,0.0987934327493175,0.0172979549327613,13.4929451758434,0.0183046457726273,69.5271875509861,224.556412357995,30.5614368313753,22687.6005658924,-10003.2966850767,-74136.0403114314,62.1265506858012,91.4679272145804,35.5627161083106,0,6.84741183487126,7.80520811004474,6.95847098216392,16.5291511637153,0.77432718378747,0.277595935565593,0.899999999263671,-99.9995823545945,1,2,5.012
bias_large,bias,0.5,NaN,NaN,5,1,5.005,0.00499999999999989,3.32512236703716,0.00732185830905091,0.498793432749317,0.0862049398786127,68.1238849067503,0.0183046457726273,172.439804836583,327.469029643592,149.585249497313,23892.0493899723,-7195.97220719642,-15872.1961023981,191.827624125454,293.218818065306,144.012890480071,0,9.39011751115906,11.7568148344796,8.80866517458949,15.5974623388198,0.430182015105413,-0.0665492331164631,0.499999996547827,-99.9998355915936,1,2,5.005
ramp,ramp,NaN,0.05,NaN,5,1,5.5,0.5,1.00515024017913,0.00732185830905091,0.148709849606427,0.0792935283871369,20.3103970781023,0.0183046457726273,198.944093765149,353.973318572158,176.912964562397,21545.4193720633,-5986.73542372409,-12078.5418187734,14497.370053319,0,4957.17934288159,0,24.9960016260049,24.7730925906856,24.9903498424234,17.3608079719267,0.00860011049601149,-0.488131137725865,0.0241253940438943,-99.9990399632733,1,2,5.5
sine,sine,0.1,NaN,1,5,1,5.06,0.0600000000000005,1.13379015544457,0.00732185830905091,0.17140101483327,0.0907708056027401,23.4094962779316,0.0183046457726273,44.0431133633738,199.072338170383,3.14394392188887,22244.1018168644,-11073.878812749,-707422.219528019,46.4118622982315,47.3518799826838,22.3007053876609,0,24.9344186460025,24.9732863963948,5.99318113146688,16.8572628522443,0.857437323992219,0.360706075770343,0.997593955087443,-99.9994200233365,1,2,5.06
