scenario_name,attack_type,attack_magnitude,attack_slope,attack_frequency,attack_start_time,attack_detected,detection_time_s,detection_delay_s,detection_confidence,resid_baseline_sigma,resid_abs_max,resid_rms,resid_peak_to_sigma,detector_threshold,ITAE_1dof_attacked,ITAE_2dof_attacked,ITAE_pid_attacked,ITAE_resilient,improvement_vs_2dof_pct,improvement_vs_pid_pct,n_mode_transitions,final_mode,first_switch_time
bias_small,bias,0.1,NaN,NaN,5,1,5.012,0.0120000000000005,1.44991126309542,0.00732185830905091,0.0987934327493175,0.0172979549327613,13.4929451758434,0.0183046457726273,69.5271875509861,224.556412357995,30.5614368313753,22687.6005658924,-10003.2966850767,-74136.0403114314,1,2,5.012
bias_large,bias,0.5,NaN,NaN,5,1,5.005,0.00499999999999989,3.32512236703716,0.00732185830905091,0.498793432749317,0.0862049398786127,68.1238849067503,0.0183046457726273,172.439804836583,327.469029643592,149.585249497313,23892.0493899723,-7195.97220719642,-15872.1961023981,1,2,5.005
ramp,ramp,NaN,0.05,NaN,5,1,5.5,0.5,1.00515024017913,0.00732185830905091,0.148709849606427,0.0792935283871369,20.3103970781023,0.0183046457726273,198.944093765149,353.973318572158,176.912964562397,21545.4193720633,-5986.73542372409,-12078.5418187734,1,2,5.5
sine,sine,0.1,NaN,1,5,1,5.06,0.0600000000000005,1.13379015544457,0.00732185830905091,0.17140101483327,0.0907708056027401,23.4094962779316,0.0183046457726273,44.0431133633738,199.072338170383,3.14394392188887,22244.1018168644,-11073.878812749,-707422.219528019,1,2,5.06
